ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
TK-240001,2025-01-01 08:22,2025-01-01 08:22,2025-01-01 03:05,resolved,chat,C108475,VR881576,VA-HP-ST2,Other,Normal,Chat Frontline,A3009,0,,,,N,"hi
people cannot hear me on calls",fw update advised,legacy_fd
TK-240002,2025-01-01 08:23,2025-01-01 10:03,2025-01-01 04:50,resolved,email,C101466,VR903813,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,A3028,0,,2499,LOST-TRANSIT,N,"pathetic experience honestly. bought pulse 1 around 28/12 from amazon. order not delivered, tracking not updating. i already called the courier. refund. now",Customer reached out - shipment not rcvd. Checked AWB with courier. Refund initiated as lost in transit.,legacy_fd
TK-240004,2025-01-01 13:01,2025-01-01 13:18,2025-01-01 08:05,resolved,voice,C107754,VR902030,VA-EB-AIR,Other,Normal,Voice Frontline,A3025,0,4,,,N,[IVR transcript] does the airlite buds work with iphone - vr902030 - please call me on my registered number,"1. Compatibility query
2. Shared spec sheet
3. Cx satisfied (SOP 3.1)",legacy_fd
TK-240005,2025-01-01 16:25,2025-01-01 16:54,2025-01-01 11:48,resolved,voice,C108544,VR896601,VA-EB-AIR,Audio Quality,Normal,Voice Frontline,A3024,0,,,,Y,"helo
one of them is jst decoraton at this point
kindly do the needful",Contact re no audio one side. Walked through reset. Replacement unit dispatched.,legacy_fd
TK-240006,2025-01-01 19:47,2025-01-02 03:39,2025-01-04 22:29,resolved,email,C102372,VR896937,VA-HP-ST3,Delivery & Shipping,Normal,Logistics,A3030,0,,,,N,"Hi,
Order VR896937 (Strata 3). Order status stuck on shipped since 28 Dec.
I called the courier. Nothing changed.
Kindly look into it.",cx: shipment not received | checked awb with courier -> refund initiated as lost in transit,legacy_fd
TK-240007,2025-01-01 20:33,2025-01-01 22:22,2025-01-01 17:19,resolved,email,C100266,VR907030,VA-HP-ST3,Delivery & Shipping,Low,Logistics,A3029,0,2,,,N,"Dear Sir/Madam,

I am writing with reference to my order of the strata 3 (VR907030) placed on 25 Dec.  My order has not been delivered yet. I have checked with neighbours. I request you to look into this matter at the earliest.

Regards,
Farah George","Cust contacted re order not delivered. Checked AWB with courier. Courier confirmed delivery for 05 Jan, cx informed.",legacy_fd
TK-240009,2025-01-01 21:14,2025-01-01 21:15,2025-01-01 16:09,resolved,chat,C104583,VR897686,VA-NB-ARC,Audio Quality,Normal,Chat Frontline,A3005,0,,,,N,"product: arc neckband
order: vr897686
purchased: 27/10
issue: buzzing sound from the speaker
tried: tried different apps
expected: fix","adv EQ reset, rslvd. Issue: audio distortion. Checked with different source. -ZK",legacy_fd
TK-240010,2025-01-02 06:47,2025-01-02 07:01,2025-01-04 01:58,resolved,chat,C105901,VR894680,VA-SW-NX1,Returns & Refunds,High,Returns Desk,A3037,0,,,,N,"Hello Vireo,
Got Nexa watch from vireo.in last week. Refund not received yet.
I checked bank. Nothing changed.
How do I get this fixed?
Rgds,",ARN shared with cx. Issue: refund delay. Checked reverse pickup QC status.,legacy_fd
TK-240011,2025-01-02 08:52,2025-01-02 09:37,2025-01-07 04:28,resolved,voice,C103243,VR898436,VA-EB-AIR,Delivery & Shipping,High,Logistics,A3028,0,,,,N,"[IVR transcript] hi sir order not delivered, tracking not updating itna paisa diya hai airlite vr898436 pls reply",Cx says order not delivered. Raised ticket with couirer partner. rfnd initiated as lost in transit.,legacy_fd
TK-240013,2025-01-02 11:10,2025-01-02 13:45,2025-01-02 08:27,resolved,email,C106694,,VA-EB-AIR,Delivery & Shipping,Normal,Logistics,A3028,0,,,,N,"Not acceptable at thsi price. Got teh AirLite buds from Amazon last week. typo in the flt number, courier wlil never find it. I already tride edditing in app. I want a replacement or refund, nothing else.","Cx says address update. Updated address with crr. Already dispatched, adv to redirect with crr.",legacy_fd
TK-240014,2025-01-02 13:04,2025-01-02 13:14,2025-01-02 08:09,resolved,chat,C104748,VR906524,VA-EB-AIR,Account & Login,High,Chat Frontline,A3014,0,,,,N,"Hi Vireo support,
Order VR906524 (AirLite).  Locked out of my own account since around Diwali.
What do I do now?
Thanks","cx: unable to log in | chk number on account -> number updated, resolved",legacy_fd
TK-240015,2025-01-02 14:52,2025-01-02 16:04,2025-01-02 10:49,resolved,voice,C103251,,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,A3027,0,,,,N,[IVR transcript] hello need to chane delivery address pls reply,"contact re wrong pincode. updated address with courier. already dispatched, advised to redirect with courier. //HAR",legacy_fd
TK-240016,2025-01-02 15:26,2025-01-02 16:39,2025-01-02 12:00,resolved,social,C100329,VR908845,VA-EB-AIR,Charging & Battery,Normal,Chat Frontline,A3011,0,2,,,N,THE LEFT ONE IS DEAD EVERY MORNING EVEN THOUGH IT WAS IN THE CASE ALL NIGHT - WAITING FOR UR REPLY,"Reported: left earbud not taking charge. Asked for photo of the bud contacts. adv pin cleaning, cx confirmed ok. Closing. ~Divya",legacy_fd
TK-240017,2025-01-02 16:30,2025-01-02 20:51,2025-01-02 15:30,resolved,email,C100188,,VA-NB-ARC,Product Enquiry,Normal,Email Frontline,A3022,0,5,,,N,"Hi team, Got the neckband from vireo.in in January. Will this survive a shower. I want a replacement. Awaiting response, Isha Srivastava",Ticket raised for pre-sales query. Shared spec sheet. Cx satisfied. Closing.,legacy_fd
TK-240018,2025-01-02 19:29,2025-01-02 19:37,2025-01-04 14:37,resolved,chat,C105568,VR909058,VA-EB-PL1,Returns & Refunds,Normal,Returns Desk,A3036,0,,2249,RETURN-QC-OK,N,"Honestly regretting this purchase.  Ordered my Pulse a month ago. still waiting for my refund. I already checked bank. I want a replacement or refund, nothing else.",Ticket raised for rfnd not credited. chk rfnd status on PG. rfnd of Rs 2249 initiated to source.,legacy_fd
TK-240019,2025-01-02 20:41,2025-01-02 21:22,2025-01-02 16:09,resolved,voice,C107373,,VA-EB-PL1,Audio Quality,Normal,Voice Frontline,A3024,0,3,,,N,[IVR transcript] no sound from the rigght earbud. please resolve asap,Ticket raised for left side silent. Asked cx to check bud in case. esc to warranty.,legacy_fd
TK-240020,2025-01-02 21:04,2025-01-02 21:53,2025-01-02 16:53,resolved,chat,C104787,VR894429,VA-SP-ORB,Audio Quality,Normal,Chat Frontline,A3011,2,,,,Y,"Hi team,
Bought my Orbit around 21/11 form Amazon. Distorted audio at high volume.
I changed EQ.
Not what I expected from Vireo.
Can someone fix this?",Customer states static noise in audio. chk with different source. New uniit shipped under DOA. Cx informed. ~Divya,legacy_fd
TK-240021,2025-01-02 23:21,2025-01-02 23:24,2025-01-02 18:08,resolved,chat,C101770,VR888644,VA-EB-AIR,Billing & Payments,Normal,Billing,A3034,0,5,,,N,"product: the airlite buds
order: vr888644
purchased: 02-01-2025
issue: the invoiec pdf link gives a 404
tried: tried different browser
expected: resolution",Cx says invoice not downloading. Regenerated invoice. GST invoice regenerated & shared. Follow-up not required.,legacy_fd
TK-240022,2025-01-03 03:21,2025-01-03 05:12,2025-01-03 00:06,resolved,email,C102006,,VA-HP-ST3,Delivery & Shipping,Normal,Logistics,A3029,0,4,6649,LOST-TRANSIT,N,"Very poor quality. This is regarding Strata 3. it has been 18 days and I have nothing in hand. I already called the courier. I want a replacement or refund, nothing else.",Ticket raised for delivery delayed. Confirmed address with cx. Refund of Rs 6649 initiated to source. ~Kavya,legacy_fd
TK-240023,2025-01-03 11:23,2025-01-03 11:38,2025-01-03 06:50,resolved,chat,C102496,VR890387,VA-EB-PL1,App & Firmware,Normal,Chat Frontline,A3006,0,1,,,Y,"Hello, Ordered the Pulse buds 3 weeks back. Firmware uppdate is stuck at 89%. I kept it in the case. Nothing changed. I want my money back. Thanks,",closed [closed],legacy_fd
TK-240025,2025-01-03 11:56,2025-01-03 14:48,2025-01-03 09:38,closed,email,C104374,VR909273,VA-HP-ST3,Product Enquiry,Normal,Email Frontline,A3021,0,3,,,N,"before i buy - will this talk to a 2019 sasung
vr909273
neeed this sorted this week","1. product enquiry
2. shared spec sheet
3. cx satisfied",legacy_fd
TK-240026,2025-01-03 12:31,2025-01-03 12:32,2025-01-03 07:34,resolved,chat,C100023,VR882000,VA-HP-ST2,App & Firmware,Normal,Chat Frontline,A3009,0,,,,N,"hello vireo, ordered strata 2 last week. app not opening after update. need this sorted this week. thanks,","cstomer states app crashing. checked app version. bug logged, workaround shared.",legacy_fd
TK-240028,2025-01-03 13:02,2025-01-03 19:25,2025-01-03 14:19,resolved,email,C104428,VR897308,VA-HP-ST3,Billing & Payments,Normal,Billing,A3032,0,,6649,PRICE-ADJ,N,"hi
coupon coed not working
urgent","contact re discount not applied. checked coupon validity. refund approved, rs 6649, 5-7 working days.",legacy_fd
TK-240029,2025-01-03 16:21,2025-01-04 03:45,2025-01-03 22:35,resolved,email,C107767,VR892432,VA-SW-FIT,Billing & Payments,Normal,Billing,A3035,0,4,,,N,"Hello Vireo,
I bought Nexa Fit on 01-01-2025. The invoice PDF link gives a 404.
I checked orders page. Nothing changed.
Please call me on my registerde number.
Regards Manpreet",Invoice emailed. Issue: invoice not downloading. Updated GSTIN on ord.,legacy_fd
TK-240031,2025-01-03 16:31,2025-01-03 21:36,,pending,email,C108564,VR898747,VA-EB-PL1,Other,Normal,Email Frontline,A3022,0,3,,,N,"right side works perfectly, left one just does not wake up, please resolve asap",cx reached out - left earbud not taking charge. Tested with cx on call. Replacement raised for full set. Will monitor.,legacy_fd
TK-240033,2025-01-03 19:34,2025-01-03 19:35,2025-01-03 14:34,resolved,chat,C100754,,VA-EB-PL1,Billing & Payments,High,Billing,A3033,0,,,,N,money debited but order not showing,Auto-rfnd conf within 5-7 days. Issue: amount deducted without ord. conf w/ payment gateway. ~Thomas,legacy_fd
TK-240034,2025-01-03 19:43,2025-01-03 19:51,2025-01-08 14:38,resolved,chat,C106527,VR910768,VA-EB-AIR,Delivery & Shipping,Normal,Logistics,A3027,0,,,,N,"Hello, AirLite purchased 2 weeks ago, order VR910768. Opened the parcel and it is a completely different thing. I rechecked my order. Nothing changed. Not what I expected from Vireo. What do I do now? Rgds Neha Yadav",ticket raised for wrong variant received. raised with warehouse. replacement dispatched. //HAR,legacy_fd
TK-240035,2025-01-03 21:32,2025-01-03 21:33,,pending,chat,C105646,,VA-EB-AIR,Connectivity,Normal,Chat Frontline,A3013,0,4,1619,WTY-BUYBACK,N,keeps losing my phone if I walk to the other room,cx: bt dropouts | chk interference sources -> refunded rs 1619 ~Sukhwinder,legacy_fd
TK-240036,2025-01-04 01:59,2025-01-04 02:01,2025-01-03 20:57,resolved,chat,C100811,VR909275,VA-EB-AIR,App & Firmware,High,Chat Frontline,A3017,0,,,,N,"hello, this is regarding the airlite buds. the vireo app keeps crashing. how do i get this fixed? thanks & regards, steven bose","cx reported app not opening. aksed for phone model + os. bug logged, workaround shared. will monitor.",legacy_fd
TK-240037,2025-01-04 10:34,2025-01-04 11:24,2025-01-09 06:12,resolved,voice,C107747,VR901329,VA-AC-CH65,Delivery & Shipping,Normal,Logistics,A3028,0,3,,,Y,[IVR transcript] hii i haven't received my order the gan cahrger vr901329,"1. Shipment not rcvd
2. Checked AWB with courier
3. New unit shipped under DOA",legacy_fd
TK-240038,2025-01-04 13:32,2025-01-04 14:13,2025-01-04 09:00,resolved,email,C102057,VR909106,VA-AC-CBL,Delivery & Shipping,High,Logistics,A3031,0,5,,,N,"Hi, Ordered the cable aronud Diwali. It has been 18 days and I have nothing in hand. I checked the tracking page daily. Nothing changed. I want a replacement.","re: delivery delayed | checked awb w/ courier -> courier confirmed delivery for 09 jan, cx informed",legacy_fd
TK-240039,2025-01-04 18:32,2025-01-04 18:47,2025-01-07 14:28,resolved,chat,C100893,VR890314,VA-EB-AIR,Warranty & Repair,Normal,Escalations & Warranty,A3044,0,2,1439,WTY-BUYBACK,N,"hey
case wont charge since a month ago",as discussed -PK,legacy_fd
TK-240040,2025-01-04 18:37,2025-01-04 18:43,,pending,chat,C102796,VR908477,VA-EB-AIR,Billing & Payments,High,Billing,A3033,0,5,,,N,"Ordered AirLite a month ago.  Need the bill with my firm's GSTIN on it.
I checked orders page.
Please advise.
Rgds Kunal Dutta",issue: invoice not downloading | regenerated invoice -> gst invoice regenerated & shared ~Thomas,legacy_fd
TK-240042,2025-01-04 20:28,2025-01-04 20:30,2025-01-04 15:19,resolved,chat,C105541,,VA-HP-ST3,Audio Quality,Normal,Chat Frontline,A3004,0,,,,N,"To the Vireo Customer Care Team,

I am writing with reference to my order of Strata 3 placed on 30-11-2024. Right earbud completely silent. I have reset the buds. I request u to provide a resolution within 3 working days.

Regards,
Swati Mittal
Dehradun",escalated to warranty,legacy_fd
TK-240044,2025-01-04 23:35,2025-01-05 01:13,2025-01-04 20:08,resolved,email,C103853,,VA-SW-NX1,Connectivity,High,Email Frontline,A3017,0,5,,,Y,"Hello, Got the nexa smartwatch from vireo.in last week. My phone just doesn't see it in the list anymore. I forgot the device and tried again. Please advise. Please revert, Karan Das","issue: unable to pair witth phone | aked cx to reset the device -> reset done, paired ok",legacy_fd
TK-240045,2025-01-05 09:38,2025-01-05 09:42,2025-01-05 04:37,closed,chat,C105039,,VA-EB-AIR,Connectivity,Normal,Chat Frontline,A3006,0,4,,,N,not acceptable at this price. i bought airlite on 04-12-2024. cannot pair airlite with my laptop. i already tried on another phone. this is the last time i buy from you.,advised fw update via app [closed],legacy_fd
